Line,New_Trans_Capacity,Cost_Trans_Capacity
1,100.0,2.1792e6
2,3355.0,5.392156e7
3,10617.0,2.0757296e8
4,500.0,9.509e6
5,4836.0,1.3573202e8
6,-3.6020715e-6,-0.11558687
7,1842.7148,6.451529e7
8,728.5601,2.1921646e7
9,-3.6743688e-6,-0.14255816
10,-3.661517e-6,-0.09367991
11,299.99344,4.717997e6
12,-3.582133e-6,-0.07970604
13,-3.6543215e-6,-0.09715745
14,2598.0,4.6252196e7
15,680.0,1.100512e7
16,-3.620167e-6,-0.04911481
17,-3.6650313e-6,-0.105527245
18,-3.673082e-6,-0.18414995
19,-3.621583e-6,-0.09910099
20,-3.6562346e-6,-0.11272171
21,-2.7723665e-6,-0.08780917
22,2208.0,5.896464e7
23,237.14081,6.361302e6
