Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Sum,147266.72,-1.4813568e7,-1.0945595e8,2.5252308e6,-6.224612e7,-1.7544464e7,-1.2911448e7,5.4929035e6,-4.5184955e6,303792.75,4.7546735e6,2.03779e7,-5.7046416e7,2.3178946e7,9.553181e6,-1.1682598e6,1.3302238e7,-1.7272952e7,-1.371404e7,2.591728e7,2.7931666e7,2.9632956e7,331349.3,-1.4724234e8
t1,0.00025243820265155977,-449.2001070116552,-11037.245036119295,0.0005887199903336325,-6536.041785632582,1231.883091368923,-1861.7742342283475,1711.415078005084,-7.447721235389449e-5,283.38560409619345,599.999175611755,2018.175458365988,-6241.629766153743,0.00033873027836435715,1359.9999722810549,-777.19765562986,3999.999491330353,-2199.9987937821256,-822.7899923012269,0.0062189067930314,1152.2654425639753,3821.090187619468,-6.893643784790677e-5,-13747.65661423443
t2,0.00025243342528689705,-955.8761560468727,-9531.202578484103,0.0005883390889220251,-6454.315991693223,2356.6102232743506,-2236.764934575174,2968.0876293676174,-7.440009932295407e-5,450.1578608146526,599.9991759266165,153.54771140971337,-2923.9287988015103,0.00033804535260810643,1359.9999722781238,-1040.3423563009803,3999.9994921288876,-2199.9987897283386,-2260.237730238107,0.006152724771862888,402.5657520161052,2912.318288877636,-6.896897017920578e-5,-12399.374041601035
t3,0.0002524306563079159,-1124.7021815371804,-9147.596640338517,0.0005879897814091517,-6262.22489229572,2345.3192301146246,-2911.8516955182804,2852.055092655117,-7.438300088854236e-5,685.7070355684782,599.9991761313388,101.42912135741703,-3313.385452008755,0.00033791278802803004,1359.999972278199,-1524.9737272649304,3999.9994923367167,-2199.9987867908276,-2160.7824232064995,0.006146970333174706,223.8993752492939,2731.3777068988074,-6.888449945169383e-5,-13745.72241433466
t4,0.000252429729577018,-1210.7650574834333,-9101.680465780959,0.0005881388842611795,-6221.4978232788535,2499.3623780188504,-2818.3266486326356,2831.2969503245436,-7.437580692302184e-5,695.5216072795041,599.9991761929022,102.72858876683311,-2430.1920348781673,0.0003380927748702451,1359.9999722781927,-1525.578882460346,3999.999492420029,-2199.998786261179,-2108.089109271882,0.006148072372023805,254.70634055591066,3069.3649718110755,-6.891321865737252e-5,-12203.142146954879
t5,0.00025243739452013265,-1151.4852487979297,-9703.449112444276,0.0005885258303443975,-6643.8290542338,580.9983023227002,-2444.037596812602,658.663877801392,-7.43836113293486e-5,503.86533778101784,599.9991751036492,2397.0262962867846,-5180.407883041605,0.00033851270009181337,1359.9999722841203,-1405.295136697649,3999.9994860489014,-2199.9987939626653,-18.09061832987806,0.006453593572431815,533.1556170721562,3854.597595017162,-6.893005816724346e-5,-14258.280294846694
t6,0.0002524823642734038,-786.4315365487204,-11338.920935662527,0.0005887299980799223,-7918.433425241807,162.2710005935877,-4101.080472458646,-52.57932425306126,-7.442150655388176e-5,47.139681097946884,599.9988562963613,2799.9936451509266,-6680.1801508048,0.0003616160813076889,1359.9999732316978,-606.5348167776829,804.3049756355704,-2199.998984773809,-154.31336628811312,4794.1730557479505,1051.1425446847707,4413.035364946313,-6.326678062518832e-5,-17806.41285028388
t7,59.0259258649101,0.0029359108389361817,-14502.575591623012,0.0005888400507107161,-9671.998723857361,195.5745829172653,-4101.080643184423,-373.58888484417696,-100.45642417766483,-231.79571615255398,599.9962088055412,2799.9997779036516,-8011.026750173048,0.0003651114276471864,1359.9999750024238,251.15041512175523,680.9735422333362,-2199.9998111037644,-899.3012472542661,7177.783727634908,1943.697630957909,4413.160308490606,-6.263097205933931e-5,-20610.457870206625
t8,46.33362468144944,0.002876495867412308,-15620.512943190879,0.0005726915043694611,-9671.99875790055,643.7536845195618,-3905.8170835107912,-0.0023410010098968235,-1315.7634114959149,-192.22380608691265,599.9962111341953,2799.9995811711337,-5564.843281032383,0.00033059251385351746,1359.999975002689,358.3571429886742,897.0891875122267,-2199.9996894418496,-1213.1328316524043,7177.783502792171,2468.271145947079,4220.701374891936,-6.687198449088072e-5,-19112.005001763686
t9,0.00025257187170416414,-203.4804742358383,-14977.437547017857,0.0005886842020636596,-8824.101158839016,-433.8007713755087,2210.5311816099525,3142.190199474988,-7.477745899166194e-5,0.0020499305812519395,599.9992700234257,2799.999723114736,0.001714282779191903,-0.0008459620517008234,1359.9999712335195,421.7136835181734,3999.9997692982165,-2199.9989814773735,-544.7671464459942,642.2482406266287,1070.5824845572797,-0.008058426664975344,-551.9989712221447,-11488.324900853544
