Line,New_Trans_Capacity,Cost_Trans_Capacity
1,100.00001,2.1792e6
2,3355.0,5.392156e7
3,10617.0,2.0757296e8
4,500.0,9.509e6
5,4836.0,1.3573202e8
6,-4.6640343e-6,-0.1496642
7,1866.0835,6.533345e7
8,642.19037,1.9322866e7
9,-4.747146e-6,-0.18417977
10,-4.732673e-6,-0.121085435
11,299.99954,4.7180925e6
12,-4.647595e-6,-0.103413634
13,-4.713435e-6,-0.12531608
14,2598.0,4.6252196e7
15,680.0,1.100512e7
16,-4.6922337e-6,-0.063659534
17,-4.7340136e-6,-0.13630645
18,-4.7399926e-6,-0.23763952
19,-4.655798e-6,-0.12740126
20,-4.7214917e-6,-0.14556359
21,-3.2348696e-6,-0.10245803
22,2208.0,5.896464e7
23,275.99994,7.4036985e6
