slot,cluster
1,9
2,9
3,13
4,12
5,9
6,17
7,18
8,5
9,8
10,8
11,9
12,8
13,18
14,5
15,16
16,9
17,5
18,5
19,16
20,14
21,14
22,5
23,16
24,16
25,16
26,14
27,16
28,14
29,16
30,3
31,3
32,14
33,3
34,3
35,3
36,3
37,2
38,3
39,14
40,14
41,10
42,19
43,14
44,10
45,2
46,7
47,7
48,7
49,10
50,20
51,7
52,2
53,10
54,10
55,10
56,10
57,10
58,10
59,10
60,10
61,10
62,10
63,10
64,19
65,19
66,19
67,19
68,4
69,4
70,4
71,4
72,11
73,11
74,4
75,11
76,6
77,4
78,1
79,11
80,15
81,1
82,1
83,15
84,15
85,4
86,13
87,1
88,13
89,17
90,13
91,15
