Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15
9000.0,1.0,1.0,1.0,9000.0,20.0,96.0,576.0,1,22930.0,18360.0,11430.0,4836.0,10218.0,1755.0,9971.0,2150.0,5522.0,3843.0,6087.0,36732.0,6498.0,14954.0,22102.0
,2.0,0.067,0.075,603.0,,,768.0,2,21778.0,17670.0,11085.0,4774.0,9586.0,1691.0,9304.0,2003.0,5261.0,3669.0,5691.0,34816.0,6205.0,14259.0,20908.0
,,,,,,,384.0,3,21116.0,17185.0,11307.0,4843.0,9180.0,1668.0,9131.0,1964.0,5168.0,3576.0,5566.0,34224.0,6106.0,14067.0,20583.0
,,,,,,,384.0,4,20772.0,16957.0,11691.0,5008.0,8882.0,1669.0,9079.0,1940.0,5124.0,3560.0,5500.0,33793.0,6100.0,14065.0,20763.0
,,,,,,,672.0,5,20639.0,16984.0,12084.0,5149.0,8906.0,1660.0,9059.0,1952.0,5157.0,3575.0,5541.0,33853.0,6252.0,14323.0,21334.0
,,,,,,,768.0,6,21290.0,18320.0,12592.0,5260.0,9023.0,1748.0,9539.0,2050.0,5331.0,3751.0,5772.0,34908.0,6586.0,14995.0,22333.0
,,,,,,,480.0,7,21844.0,17861.0,13203.0,5465.0,9307.0,1861.0,10211.0,2140.0,5430.0,3940.0,6029.0,36754.0,7020.0,15641.0,23628.0
,,,,,,,384.0,8,22705.0,18182.0,13424.0,5549.0,9505.0,1970.0,10944.0,2197.0,5598.0,4203.0,6226.0,38599.0,7560.0,16775.0,24972.0
,,,,,,,96.0,9,24034.0,19099.0,13247.0,5510.0,10141.0,2032.0,11708.0,2160.0,5685.0,4530.0,6381.0,41412.0,8008.0,17963.0,26407.0
,,,,,,,192.0,10,25515.0,20002.0,12624.0,5355.0,10952.0,2012.0,12320.0,1887.0,5483.0,4765.0,6474.0,43457.0,8300.0,19017.0,27733.0
,,,,,,,1440.0,11,26822.0,20148.0,11673.0,5124.0,11679.0,1867.0,12619.0,1487.0,5071.0,4860.0,6172.0,45102.0,8366.0,19933.0,28635.0
,,,,,,,672.0,12,28293.0,20804.0,10933.0,4915.0,12373.0,1752.0,13009.0,1214.0,4711.0,4923.0,6000.0,46507.0,8388.0,20889.0,29699.0
,,,,,,,384.0,13,29771.0,21445.0,10933.0,4915.0,12772.0,1745.0,13350.0,1202.0,4629.0,5000.0,6153.0,47928.0,8341.0,21466.0,30944.0
,,,,,,,96.0,14,30500.0,21675.0,11131.0,4990.0,12987.0,1754.0,13302.0,1244.0,4646.0,4997.0,6264.0,48152.0,8244.0,21701.0,31670.0
,,,,,,,288.0,15,30814.0,21797.0,11843.0,5205.0,13214.0,1816.0,13477.0,1438.0,4903.0,5049.0,6540.0,48581.0,8279.0,21950.0,32236.0
,,,,,,,288.0,16,31345.0,22168.0,13127.0,5496.0,13442.0,1963.0,13914.0,1834.0,5396.0,5199.0,7074.0,49316.0,8468.0,22419.0,32761.0
,,,,,,,288.0,17,32159.0,22779.0,15415.0,6092.0,13491.0,2173.0,14430.0,2408.0,6142.0,5475.0,7868.0,51022.0,8736.0,22358.0,33000.0
,,,,,,,192.0,18,32308.0,23026.0,16664.0,6540.0,13606.0,2322.0,14514.0,2878.0,6800.0,5533.0,8342.0,50644.0,8836.0,22303.0,32550.0
,,,,,,,288.0,19,32881.0,23522.0,16727.0,6449.0,13707.0,2616.0,15623.0,3300.0,7583.0,6002.0,9207.0,52766.0,9584.0,22972.0,33902.0
,,,,,,,96.0,20,33671.0,24516.0,15924.0,6099.0,14290.0,2671.0,16071.0,3393.0,7768.0,6106.0,9450.0,55167.0,9822.0,22453.0,33289.0
,,,,,,,,21,32726.0,23916.0,14616.0,5682.0,14101.0,2489.0,14949.0,3175.0,7414.0,5750.0,8955.0,52629.0,9264.0,21102.0,30721.0
,,,,,,,,22,30670.0,22733.0,13525.0,5361.0,13430.0,2287.0,13566.0,2885.0,6897.0,5282.0,8191.0,49050.0,8545.0,19465.0,28072.0
,,,,,,,,23,28379.0,21982.0,12626.0,5256.0,12345.0,2045.0,12006.0,2565.0,6299.0,4763.0,7372.0,45078.0,7901.0,17671.0,25460.0
,,,,,,,,24,25829.0,20498.0,11960.0,5139.0,11191.0,1881.0,10787.0,2284.0,5758.0,4282.0,6614.0,41503.0,7331.0,16046.0,23244.0
,,,,,,,,25,23460.0,18906.0,11452.0,5031.0,10330.0,1741.0,9862.0,2055.0,5382.0,3894.0,6001.0,38554.0,6923.0,14789.0,21321.0
,,,,,,,,26,22181.0,18194.0,11275.0,5013.0,9826.0,1683.0,9354.0,1942.0,5187.0,3655.0,5674.0,36922.0,6742.0,14046.0,20198.0
,,,,,,,,27,21764.0,17995.0,11884.0,5245.0,9537.0,1684.0,9248.0,1924.0,5147.0,3628.0,5686.0,36633.0,6719.0,13750.0,19873.0
,,,,,,,,28,21699.0,18165.0,13419.0,6015.0,9447.0,1735.0,9552.0,1960.0,5233.0,3691.0,5866.0,37161.0,6903.0,13659.0,19978.0
,,,,,,,,29,22236.0,18660.0,14953.0,6554.0,9641.0,1910.0,10361.0,2108.0,5586.0,4006.0,6359.0,39615.0,7590.0,13773.0,20215.0
,,,,,,,,30,24137.0,20042.0,15876.0,6694.0,10553.0,2226.0,12220.0,2454.0,6403.0,4625.0,7468.0,44716.0,8881.0,14301.0,21240.0
,,,,,,,,31,26487.0,22041.0,16173.0,6716.0,12062.0,2328.0,13043.0,2545.0,6855.0,5052.0,7841.0,48500.0,9549.0,14964.0,22620.0
,,,,,,,,32,27660.0,22842.0,15328.0,6510.0,12944.0,2145.0,12948.0,2155.0,6523.0,5058.0,7513.0,49101.0,9584.0,16265.0,24039.0
,,,,,,,,33,28688.0,23590.0,14180.0,6209.0,13686.0,1978.0,13161.0,1688.0,6088.0,5075.0,7058.0,50371.0,9664.0,17328.0,24759.0
,,,,,,,,34,29956.0,24306.0,13420.0,5988.0,14308.0,1940.0,13616.0,1426.0,5886.0,5243.0,6943.0,52792.0,9889.0,18076.0,25404.0
