slot,cluster
1,3
2,3
3,15
4,8
5,3
6,4
7,8
8,4
9,7
10,7
11,3
12,7
13,8
14,4
15,19
16,13
17,19
18,19
19,1
20,1
21,1
22,4
23,7
24,1
25,13
26,1
27,13
28,1
29,13
30,2
31,2
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,11
41,5
42,2
43,5
44,11
45,2
46,11
47,11
48,11
49,11
50,20
51,11
52,5
53,11
54,11
55,11
56,5
57,11
58,11
59,11
60,5
61,5
62,5
63,11
64,2
65,11
66,2
67,2
68,12
69,12
70,12
71,12
72,16
73,16
74,12
75,16
76,9
77,12
78,17
79,18
80,10
81,17
82,18
83,10
84,2
85,12
86,15
87,17
88,15
89,14
90,8
91,7
