Region description,Network_zones,RPS_1,RPS_2,RPS_3,RPS_4,RPS_5,RPS_6,Modeled load
MIS_Central,z1,0,0,0.081,0,0,0,37077333120
MIS_East,z2,0,0,0.143,0,0,0,28512600720
NY_East,z3,0,0,0,0.497,0.497,0,18928608840
NY_West,z4,0,0,0,0.497,0.497,0,8871197640
PJM_COMD,z5,0.221,0.221,0,0,0,0,17018268480
PJM_Delaware,z6,0.356,0.356,0,0,0,0,3169854000
PJM_Dom,z7,0.335,0.335,0,0,0,0,17841004080
PJM_NJCoast,z8,0.49,0.49,0,0,0,0,3563333400
PJM_NJLand,z9,0.49,0.49,0,0,0,0,9523303440
PJM_PECO,z10,0.175,0.175,0,0,0,0,6925935600
PJM_SMAC,z11,0.462,0.462,0,0,0,0,10801622040
PJM_WEST,z12,0.063,0.063,0,0,0,0,60953068800
PJM_WestMAC,z13,0.175,0.175,0,0,0,0,12590037000
SC_TVA,z14,0,0,0,0,0,0.012,24897886800
SC_VACA,z15,0,0,0,0,0,0.074,36281108520
