Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
CO2_Price,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,-1.0203757798397242e-6,0
Sum,1.031141e8,6.3518464e7,1.3747678e7,0.553588,941988.94,4.6722285e6,1.5329627,2.292314e6,2.8161252e7,8.47871e6,225877.95,1.9346045e8,6.0305955e6,7.701449e6,2.098548e7,4.5333056e8
t1,12467.904013708858,6759.597018524073,1157.7596482311058,6.644682326956524e-5,0.0010707446477279793,665.6907328526609,0.00010492092764547227,542.5513727081373,3239.041336781502,909.6419714551387,0.0003523546319241357,13041.820898478085,120.7380682966321,757.6387277759894,1796.9971339893252,41459.38251726854
t2,12467.90401282744,6759.597018494544,1157.7596480292925,6.624390842411434e-5,0.001045678615313537,665.6907281129876,0.00010445285938335275,542.5513702859599,3239.0412982468843,909.6419666195306,0.00035148462501199555,9281.746188253455,120.73806708130756,757.6387271757202,1796.9971339864735,37699.307726973595
t3,12467.904012657662,6759.5970184907865,1157.75964798282,6.62134329577339e-5,0.0010414062142984747,665.6906890980827,0.00010436794721923481,542.5513518909704,3239.041241146531,909.6419367040761,0.00035100028288966836,8303.541267537968,120.73806630857092,757.6387270658392,1796.997133985455,36721.10265585664
t4,12467.904012622104,6759.59701848962,1157.7596479669212,6.620649767474096e-5,0.0010401392393056496,665.6906884303999,0.00010429506844244757,542.5513514945802,3239.041239808889,909.641935807174,0.0003504797866009115,7966.381494767673,120.7380654970841,757.6387270442281,1796.9971339851309,36383.942877034395
t5,12467.904012603189,6759.597018489677,1157.7596479560746,6.619006689985351e-5,0.001038864520038694,665.6906878542453,0.0001042480622016524,542.551351096913,3239.041239141854,909.6419350338751,0.00034990911555488454,8053.823142002859,120.73806462529234,757.6387270320148,1796.997133985609,36471.38451903337
t6,12467.90401253855,6759.597018492408,1157.759647882268,6.608473038830051e-5,0.001034786095488315,665.6906872675507,0.00010491504908115529,542.5513506825404,3239.041238475098,909.6419342586426,0.0003492803487789257,8961.733020134503,120.73806367697478,757.6387269844003,1796.9971339868107,37379.29438944597
t7,12467.904012199544,6759.597018491195,1157.759647339341,6.538133224785389e-5,0.0010122423272259228,665.6906866496382,0.00010585473753456499,542.5513502493708,3239.0412373136087,909.6419333216164,0.00034846062199141126,9161.126471111762,120.73806234734785,757.638726724566,1796.9971360612972,37578.687813748315
t8,12467.904010400493,6759.597018487935,1143.445522072078,6.008285137089641e-5,0.0008798899206890344,412.19164324949594,9.924982408955938e-5,491.9001878123104,2720.7928473975658,522.3954791150684,0.00033729732867116257,8487.451360596206,101.41987132985743,757.6387252862994,1796.997128412188,35661.73517067942
