Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Sum,488724.3,-1.6120831e7,-1.0704025e8,1.2912426e6,-6.303351e7,-2.7637066e7,-1.7986234e7,4.8954975e6,-4.488443e6,2.126797e6,3.9111735e6,2.2119384e7,-4.1041036e7,2.8765616e7,3.638663e6,1.8200254e6,3.462228e6,-1.7849198e7,-1.1196292e7,3.2195768e7,5.1625984e7,2.746493e7,1.5628079e6,-1.2102404e8
t1,0.0002100640545785758,-5551.376140771018,-9507.251045180292,0.0004884364150205107,-9614.021537144574,-5000.006636047864,-4109.425847467213,-4529.346371862445,-6.162451661756842e-5,626.971717147813,0.0013560573710928864,2799.9978328397046,-0.0004022830951872359,3184.8388444529455,-789.2374672309971,-1049.253039262125,-0.021506981218010025,-2199.929072962393,-0.0001364603204453517,4771.728115303784,3696.9329815442848,390.5188724535764,-5.7426551917691144e-5,-26878.87890440468
t2,0.0002094667910208782,-5467.554147285329,-5716.296761958606,0.0004884123740762061,-8729.429752994824,-4620.346974963272,-4469.994687289748,-3669.8055287657776,-6.161069239267952e-5,585.9038474934541,15.35440745764839,2799.997763447238,-0.0004022691222882445,2710.5279993371255,-701.8988259817219,-1229.8031409813311,-0.001879309429347509,-1997.3149096225982,-0.00011893841664529278,2776.3296502040557,3154.749489122,383.88196391608125,-5.74380000603212e-5,-24175.70143055209
t3,0.00020943673130898274,-5377.016187269528,-4538.555575307212,0.0004883996898068083,-7411.261065944357,-4231.465799139104,-4469.9990871582995,-2665.9508146188205,-6.159297738540564e-5,62.578414017708084,599.9992626150118,2799.997761868515,-0.0004022483943291455,1995.7227965154061,-185.51481251766842,-856.826313148757,238.91655485880622,-1005.5353097903658,-0.00011858626880363523,1484.9940121138798,2618.4458509480337,351.08876635484353,-5.7446150252863325e-5,-20590.38148763928
t4,0.00020943401278774372,-5386.457147372848,-3830.669341130862,0.0004883982299665004,-6829.495442303518,-3989.875570713875,-4469.9990874112655,-2225.2065525536545,-6.15759437402143e-5,139.12157206556142,599.9992632117794,2799.9977612085,-0.00040222911984023364,1938.3148631315387,-224.44181092514484,-1252.29007439692,926.0496189914435,-651.5379409942312,-0.00011848383141864894,909.2298393618986,2434.3884559114404,349.94952298516984,-5.7448063093452646e-5,-18762.92201283971
t5,0.00020943500560879072,-5295.91653051756,-3693.611611005142,0.0004884061255943301,-6821.170853348391,-4044.9994140873855,-4469.999087434907,-2112.654174566132,-6.157716829874511e-5,108.26258516115054,599.9992631493808,2799.99776021681,-0.00040230758014893277,1675.9239758640033,-410.0126520938688,-1435.3906436719706,1081.0124492267837,-618.9972097744178,-0.00011847570186879978,828.9734944499215,2586.114848669952,1217.7206527948026,-5.7416405117910213e-5,-18004.747088902688
t6,0.00020944646588421083,-5430.875010999299,-3977.7013390097036,0.000488419639299923,-7891.803347120141,-4134.460846870757,-4469.999087469321,-2219.304220834348,-6.157437297936452e-5,153.52578963431733,599.9992633244204,2432.2390389229836,-0.0007476651225529144,0.001949361469438349,-418.1918490736096,-1489.8595235096004,1115.7892981621505,-1129.8400989801066,-0.00011869469810938261,814.1120508749623,3063.4779730921377,4039.355541427889,-5.735923240111343e-5,-18943.534706493872
t7,0.00020943590724084192,-4769.764136338376,-4858.710277970845,0.0004884306818548892,-7218.3630292291955,-4097.393382932805,-4469.999087539973,-2199.8066185132093,-6.158113379105344e-5,146.75175560559975,599.9992678329277,0.0006326961007779484,-0.00439379873066075,0.002991820554112604,-320.8655466818839,-1579.727624300127,1469.5145047841731,-2199.934699673149,-0.00013794042333823103,934.4517141405281,3383.8273588061484,4415.998763064461,0.0001048303468264647,-20764.02120505242
t8,0.0002094353680352286,-5208.835359646634,-4845.077221696003,0.0004884375557710691,-7334.292950689794,-4817.685705607106,-0.005783036801375523,2179.446806443934,-6.15802458614705e-5,-5.312502789078539e-7,599.999229802857,1005.0278006074673,0.007474254423146035,3509.044213187915,-522.632724509778,-0.001997765741681245,2459.0561135314238,0.00046447374470480154,-1907.454988532029,-903.5865460105188,3571.508075881283,-8.232083691238367e-5,-551.9901706143517,-12767.472716485117
t9,0.00024399524308595734,-4948.268342634103,-3887.343652082575,-9.774068234381321,-4452.64915574141,-5210.818746364128,4142.09337221956,4784.281208776531,-7.184772665695856e-5,191.01860147497572,0.004836166259801546,2799.999687717199,1178.7873029504958,164.87933188305996,-1359.9996523273244,1074.5236513953932,-1712.5059779880248,-0.02425853095015021,-64.75219408886898,0.0006336723927150157,-5.781136227717891e-5,-0.00013644480560090868,-4.599283709684157e-5,-7310.547489837387
t10,0.00024739177532453354,-2024.237609754581,-2077.157543627193,-999.9994434550006,-2851.6934200066835,-5210.820878780475,4469.999916197451,4999.9998511249505,-7.291340279448751e-5,724.9954005896037,-238.56175640440105,2799.9995449428175,0.0006464527593702824,-0.005469650869886349,-1176.0958692089268,571.0962077708089,-267.2204380680523,-2199.923134331792,-0.0001649690790437191,167.0139412158461,-529.182610819382,-1358.057330167338,7.259970973327125e-5,-5199.849913871453
t11,0.00024735594937370356,-1174.067893306647,-1252.9113756296326,-999.9994434723652,-1134.7247152071977,-4547.706988691135,4469.9999163079465,4999.999851126596,-7.300648606279209e-5,724.998806970886,0.0015207780138830687,2799.999544917647,0.0006462527059811016,-0.005470325968816501,-950.3264931891271,1018.2751932363404,-257.4333432226528,-2199.9225745189237,-0.00016537448663561313,112.2702292343741,-600.7755317288996,-1320.2884584962947,7.263729264037294e-5,-312.6164973520654
t12,0.0002472730180199579,-1159.8204001700665,-1601.53546705798,-999.9994434603905,-497.730943498505,-4122.122757199284,4469.9999163110615,4999.9998511285985,-7.30132423906783e-5,724.9988738083907,0.0019466480107224596,2799.999542229571,0.0006461442497478558,-0.005467241103689636,-858.1018806846548,1318.866241053397,-283.7656620789551,-1239.1590363302207,-0.00014379855426725372,105.65379901634263,-473.04152151131024,-707.8578352312127,7.26571399309297e-5,2476.3805049943003
t13,0.00024727848615873385,-1585.848119450024,-1981.1409101943182,-999.9994434259681,-405.8495173756657,-4201.819174774044,4469.99991631113,4999.999851128875,-7.29706941072541e-5,724.9988751590712,0.0019547708636794125,2799.9995422015245,0.0006462974358415216,-0.005463985090196088,-876.2405216771035,1397.2924091173556,-340.5563282454929,-450.32814178648755,-0.0001435198759402931,93.75577650524053,-374.88061274802465,-566.9541747053327,7.262547515986159e-5,2702.426666537335
t14,0.00024725559020080396,-6649.491424007384,-953.1997100701941,-999.9994433403524,-296.2530040779704,-3396.2055324603525,4469.999916309759,4999.9998511268,-7.291448198414377e-5,724.9988744228733,0.0019516636883129166,2799.999542204532,0.0006464556036012054,-0.005459558278562459,-966.7298546944627,1376.4909133718638,-488.60747352854105,-333.6094654528421,-0.00014334061804697215,94.42450262205655,-237.78052744631606,-414.4340847357561,7.255977509958199e-5,-270.3996776350078
t15,0.0002472598211065849,-6683.602750029779,-1324.7080315548212,-999.9994429573758,-368.48964503028105,-2581.4960448776283,4469.999916305639,4999.999851122754,-7.283880434042031e-5,724.9988726624513,0.0019440733829798626,2799.999542261202,0.0006467132518927477,-0.005450299528354811,-1163.031405569178,1341.527364057082,-871.9208493560682,-502.132248018871,-0.0001433468248255293,117.58076551751928,-67.71158957036187,-258.88562913319777,7.223784616137752e-5,-367.87408037177073
t16,0.0002472708024662972,-6684.7721147617,-2724.9733552362777,-666.3219230545675,-337.2964661784309,-2759.294051342363,4469.999404640317,4999.999333970711,-7.279727881133707e-5,724.9957001501874,-58.30725715975716,2799.9996875472257,801.5895687375029,-0.00034605805272514196,-1359.9996875627155,1570.598149126307,-1951.075547542859,-964.5689154103894,-0.00014397528525529092,148.9735041108437,-6.181805363169614e-5,-21.75647139741885,-0.00145944685041936,-2012.2122781881044
t17,0.00024732971565668725,-6684.79048752229,-6130.009549071917,-15.768498116028715,-1051.9806102922928,-5210.8187046173425,4446.514611474992,1226.475921409033,-7.276132093357162e-5,724.9954304111218,-594.5379347871432,2799.999687766242,524.6837685994667,3162.543577664868,-1359.9996920135504,1686.215197513025,-2906.876449866828,-2121.2813400489085,-0.00015042310009308953,3888.257513074541,-5.943344659043316e-5,-0.00013746678146103015,-4.533493137138508e-5,-7616.377776512879
t18,0.0002121871977529821,-6709.999590708102,-2166.716898572522,0.0004948835110917929,-1856.5347987392909,-5210.799368495294,-553.8807764247914,-2073.739093857745,136.29360714773873,527.8345812732739,281.60082482777767,2799.9989303054235,-0.00040875912081313523,1906.2883631451948,-1192.520468956832,-0.013317760246945875,-158.2429292741324,-2199.9979609533752,-0.0009282439785656905,3951.232713251847,2340.85577966423,4373.115709508758,-5.785444076866693e-5,-5805.22538240492
t19,0.00020941606399315418,-2342.4926252437563,-12434.446050921559,0.0004884659692979182,-6444.364635322418,-4901.576389211144,-3844.000039039731,-3222.4136022065745,-6.165528956078879e-5,0.0007648930770570024,132.96950349877724,2799.637900736383,-0.41617907839213364,3298.467936625076,-656.9111958700705,-841.156589571009,-0.02164281742274946,-2199.9990012783114,-0.00486755496711886,6872.917402653529,5383.841391244257,4415.999179820274,0.0002130708119470365,-13983.96788934642
t20,59.29509815908179,-2.165538189398267,-17613.603245138882,0.0004885661507150274,-9671.999384062075,-4860.191489600308,-3407.917005883679,-3197.46537683277,-6.249740833711874e-5,0.0007629050402994129,73.37707245916535,2799.6419494668044,-0.3804327491909347,4858.165095168179,-756.3531117149962,-742.0273464251479,-0.02167830483683058,-2199.9990007564393,-0.004866307153492998,6644.837382140329,7206.782113352775,4415.999179709041,0.00021298470819934709,-16394.02918355101
t21,48.53381011804788,-2.157186915200283,-16850.027591524056,0.0004884888255230239,-9671.999383917271,-4798.553231471592,-3355.3654449807773,-2914.444614741376,-6.25259053144835e-5,0.0007644633134856434,135.9812659135261,2799.6428342391523,-0.37934592437976444,3414.87070619493,-781.9729398025182,-687.6861060592258,-0.021657887305127233,-2199.9990008099753,-0.0048682434338643815,6664.354896277027,6243.59298989625,4415.999179228371,0.00021285757117485034,-17539.634287126006
t22,6.468872180931183,-2.151404911941055,-15290.451993856255,0.0004884459663485464,-9671.999380765066,-4729.736992691323,-3457.517326230868,-2739.1141980857983,-6.25661283785077e-5,0.0007659644245631437,227.98672998545194,2799.638659996963,-0.38056082496505667,1471.0855284566562,-770.1725275350404,-639.5656327833315,-0.021634864103191608,-2199.999000712356,-0.004864971529455077,6568.727971520097,5367.278348276802,4415.999179078808,0.00021284993733087612,-18643.928824042676
t23,0.00020972908354357144,-2.143061710825162,-14888.70853245741,0.0004884305577987889,-9513.970677551228,-4721.960417654879,-3592.52207950999,-2777.042962615103,-6.26382935803767e-5,0.0007684884729662101,302.11863187189664,2799.6203112852572,-0.397384632919645,326.80915225039837,-754.486095971275,-592.182772362578,-0.02162656291487932,-2199.9990004607107,-0.004851224174812702,6736.703362603302,5073.490188402676,4415.999179171139,0.00021287755391684223,-19388.697020241965
t24,0.00020958393778892497,-2.272527490831661,-14557.548274833847,0.000488426059108202,-9391.577417025468,-4758.547221493188,-3668.3750302049984,-2677.9735672108955,-6.248443086515705e-5,0.0007697800097366978,360.9705239605769,2799.615321151142,-0.40232631159514576,271.7523201110706,-737.2263580130343,-547.8937784875753,-0.021622661221851348,-2199.9990003407347,-0.004847122836689533,6798.831769013017,4858.544051805149,4415.999179161537,0.00021287574646267228,-19036.12718781242
t25,0.0002095398091729568,-2.298446796600218,-13973.549087323325,0.0004884170255999806,-9307.8630599646,-4795.652190873216,-3744.590165201382,-2501.3017976537885,-6.243706851263988e-5,0.0007713151870891289,410.18958805689806,2799.606379375017,-0.404963862016459,219.90748815600324,-667.3237859429136,-515.2115223687958,-0.021615842735324717,-2199.999000160998,-0.004842482416926033,6797.791931885414,4472.533932330723,4415.999179065149,0.00021285556226801537,-18592.19035991307
t26,0.0002094999247140875,-9.092366856783908,-13431.039293726786,0.0004884042860504716,-9150.558926874975,-4773.137079997753,-3851.575365742544,-2516.164691271594,-6.20183976248894e-5,0.000774173445637293,452.1857734464445,2799.5720339256395,-0.4085251126324281,139.41456404302934,-462.02810455936515,-466.2321113272863,-0.0215935509286163,-2199.9989998460283,-0.004833504249419101,6837.857306794988,3878.6021114755927,4415.999178760024,0.00021277667787614231,-18336.62930108928
t27,0.00020946629855552335,-143.32489789508833,-12334.027565472705,0.0004883900995377418,-8840.552139270252,-4726.748193891485,-3967.2061314928046,-2688.0928017025285,-6.178192441143386e-5,0.0007762709539839998,493.20993676428196,2799.5298229145797,-0.4123855643280908,90.71533437713704,-318.19359951497864,-430.1967717461972,-0.021557809390614465,-2199.998999677461,-0.0048283476411101625,6807.324373688212,3257.1834829015784,4415.999178231125,0.00021266319976288436,-17784.81611849932
t28,0.00020944279513621084,-529.5742612848235,-10917.441025293629,0.000488373097687046,-8300.039758838724,-4707.115421091839,-4045.259387092353,-2902.0561098483463,-6.173359161610882e-5,0.0007749864179385153,486.6521557934917,2223.334278283649,-53.26450432694628,0.3746629961152881,-341.4402503461119,-449.46755145775586,-0.021527257264261045,-2199.9989996501204,-0.004825904703585399,6865.203104708828,2731.7873402173013,4415.999177062762,0.00021243003354087285,-17722.331279831717
t29,0.00020944010020206222,-1014.3627273216581,-10323.66694766366,0.0004883575583379438,-8179.283051713551,-5210.820949339129,-4469.998357134306,-3502.2561082550164,-6.171907727052907e-5,0.000770797578939374,384.0421638591239,1967.265770105087,-3697.3324211058725,0.25699474742068396,-564.6793266002262,-912.8125722804732,-0.021488289488872984,-2199.9990001803676,-0.004824664606404149,7034.500015040235,2441.148678753405,4415.999165204387,0.00020909224688390505,-23832.023370870298
t30,0.00020947638804400632,-692.5799194370206,-11170.730956096519,0.0004883533183782445,-8711.471465640714,-5210.820953883343,-4469.998315079293,-3472.0789445060477,-6.174164054660049e-5,0.0009185738145865897,133.40668857568656,2617.6469125279878,-7314.251829571755,0.000281142178595168,-226.6452992014383,-738.8576015914363,-281.79680831818,-2199.999001887151,-0.004869602274343011,6941.240211969604,2275.557821998409,4345.506788450536,-5.709239625871791e-5,-28175.875762581283
t31,48.62027937209978,-2.1382549019148653,-14159.795339307433,0.0004883510801668308,-9671.999383897315,-5210.821481169505,-4469.999479498671,-3611.605529489744,-6.259739434003915e-5,0.0009187522548889456,117.5299417013789,2587.4481232078856,-8376.310533764736,0.00028065995602117997,-237.22587803311964,-466.1982365295959,-862.5773358571258,-2199.999001336278,-0.00487092095647469,6963.183996082981,2703.479430114636,3848.414504939853,-5.7355302764295875e-5,-32999.99748147697
t32,199.99978728557127,-2.1250917125843194,-15071.44087221126,0.000488379639365297,-9671.9998296832,-3374.874923999219,-2964.4634898638915,0.005504009518028043,-6.260169041849578e-5,211.62846278902938,599.999470274135,1816.3103492657744,-1406.1418854155147,0.00028196856278754596,-282.857038653296,-613.6685513646913,1066.3289114443462,-2199.9989967650877,-0.004828348245070161,2870.575164191937,3633.745738814479,1816.6727906662534,-5.7436276739618374e-5,-23372.30867896571
