region,Resource,cluster,R_ID,zone,voltage_level,CapRes_1,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,TRADER,HYDRO,Commit,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,spur_miles,spur_line_capex,interconnect_annuity,Power_uprate_cost_per_MWyr,Max_Uprate_MW,Hydro_level,Existing_Charge_Cap_MW,Existing_cap_MWh,RPS_1,RPS_2,RPS_3,RPS_4,RPS_5,RPS_6
MIS_Central,conventional_hydroelectric,1,1,1,trans,0,0,0,0,0,0,0,0,0,1,0,0,0,0,208.8,9,208.8,-1,1,0,0,0,0,0,0,44560,0,0,0,0,0,0,0,0,9.12,0,0,None,0,0,1,1,1,0,0,0,0.083,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
MIS_Central,conventional_steam_coal,1,2,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12097.2,34,12097.2,0,355.8,0,0,0,0,0,0,59791.288,0,0,0,1.8,0,0,117,13.7,10.79,0.429,0.387,west_north_central_coal,0.463,0,1,1,1,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIS_Central,natural_gas_fired_combined_cycle,1,3,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1729.6,4,1729.6,0,432.4,0,0,0,0,0,0,10408.124,0,0,0,3.561,0,0,87,2,7.93,1.205,0.908,west_north_central_naturalgas,0.519,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIS_Central,natural_gas_fired_combustion_turbine,1,4,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3296.81,43,3296.982,0,76.67,0,0,0,0,0,0,8274.102,0,0,0,10.8,0,0,113,3.5,12.79,2.547,2.235,west_north_central_naturalgas,0.491,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIS_Central,natural_gas_fired_combustion_turbine,2,5,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92,1,92,0,92,0,0,0,0,0,0,11182,0,0,0,10.8,0,0,113,3.5,16.84,0,0,west_north_central_naturalgas,0.598,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIS_Central,onshore_wind_turbine,1,6,1,trans,0,0,1,0,0,0,0,0,0,0,0,0,0,0,800.9,2,300,0,1,0,0,0,0,0,0,43205,0,0,0,0,0,0,0,0,9.12,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIS_Central,solar_photovoltaic,1,7,1,trans,0,0,1,0,0,0,0,0,0,0,0,0,0,0,201.6,54,194.184,0,1,0,0,0,0,0,0,17943,0,0,0,0,0,0,0,0,9.13,0,0.029,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIS_East,biomass,1,8,2,trans,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.85,47,73.085,-1,0.55,0,0,0,0,0,0,111708,0,0,0,4.504,0,0,0,0,11.17,1.867,2.166,None,0.621,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIS_East,conventional_steam_coal,1,9,2,trans,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4608.96,8,4609,0,576.12,0,0,0,0,0,0,59685.304,0,0,0,1.8,0,0,117,13.7,10.43,0.816,0.793,west_north_central_coal,0.364,0,1,1,1,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIS_East,hydroelectric_pumped_storage,1,10,2,trans,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1999.02,6,1999.002,0,1,0,0,0,0,0,0,38460,0,0,0,0,0,0,0,0,0,0,0,None,0.72,0,0.866,0.866,0.0063,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
