Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
conventional_hydroelectric,1,208,0,0,208,0,0,0,0,0,0,0,0
conventional_steam_coal,1,12097,-2.19E-06,0,12097,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,1,707,-1.95E-06,0,707.000002,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,1,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,1,0,0,0,0,0,0,0,0,0,0,0,0
onshore_wind_turbine,1,800,-2.10E-06,0,800.0000021,0,0,0,0,0,0,0,0
solar_photovoltaic,1,201,-2.19E-06,0,201.0000022,0,0,0,0,0,0,0,0
biomass,2,81,0,0,81,0,0,0,0,0,0,0,0
conventional_steam_coal,2,5244,-2.20E-06,0,5244.000002,0,0,0,0,0,0,0,0
hydroelectric_pumped_storage,2,1999,2.91E-07,0,1999,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,2,5462,-2.20E-06,0,5462.000002,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,2,506,-2.18E-06,0,506.0000022,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,2,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,2,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,2,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,2,0,0,0,0,0,0,0,0,0,0,0,0
nuclear,2,1161,-2.20E-06,0,1161.000002,0,0,0,0,0,0,0,0
onshore_wind_turbine,2,2194,-2.19E-06,0,2194.000002,0,0,0,0,0,0,0,0
solar_photovoltaic,2,132,-2.19E-06,0,132.0000022,0,0,0,0,0,0,0,0
conventional_hydroelectric,3,275,0,0,275,0,0,0,0,0,0,0,0
hydroelectric_pumped_storage,3,1169,2.30E-07,0,1169,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,3,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,3,2327,2326.992328,0,0.007672343,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,3,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,3,296,295.9992448,0,0.000755194,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,3,4106,22.76133969,0,4083.23866,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,3,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,3,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,3,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,3,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,3,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,3,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,3,0,0,0,0,0,0,0,0,0,0,0,0
small_hydroelectric,3,134,0,0,134,0,0,0,0,0,0,0,0
solar_photovoltaic,3,335,-2.20E-06,0,335.0000022,0,0,0,0,0,0,0,0
biomass,4,40,0,0,40,0,0,0,0,0,0,0,0
conventional_hydroelectric,4,3369,0,0,3369,0,0,0,0,0,0,0,0
conventional_steam_coal,4,0,0,0,0,0,0,0,0,0,0,0,0
hydroelectric_pumped_storage,4,240,-6.05E-08,0,240.0000001,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,4,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,4,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,4,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,4,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,4,4,3.998793521,0,0.001206479,0,0,0,0,0,0,0,0
nuclear,4,3365,-2.20E-06,0,3365.000002,0,0,0,0,0,0,0,0
onshore_wind_turbine,4,2151,-2.20E-06,0,2151.000002,0,0,0,0,0,0,0,0
small_hydroelectric,4,333,0,0,333,0,0,0,0,0,0,0,0
solar_photovoltaic,4,218,-2.20E-06,0,218.0000022,0,0,0,0,0,0,0,0
conventional_steam_coal,5,0,0,0,0,0,0,0,0,0,0,0,0
conventional_steam_coal,5,0,0,0,0,0,0,0,0,0,0,0,0
conventional_steam_coal,5,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,5,3788,-2.08E-06,0,3788.000002,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,5,4147,1529.246701,0,2617.753299,0,0,0,0,0,0,0,0
nuclear,5,10667,-2.19E-06,0,10667,0,0,0,0,0,0,0,0
onshore_wind_turbine,5,1832,-2.09E-06,0,1832.000002,0,0,0,0,0,0,0,0
solar_photovoltaic,5,54,-2.19E-06,0,54.00000219,0,0,0,0,0,0,0,0
biomass,6,7,0,0,7,0,0,0,0,0,0,0,0
conventional_hydroelectric,6,572,0,0,572,0,0,0,0,0,0,0,0
conventional_steam_coal,6,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,6,1540,1539.997098,0,0.002901505,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,6,0,0,0,0,0,0,0,0,0,0,0,0
solar_photovoltaic,6,213,-2.19E-06,0,213.0000022,0,0,0,0,0,0,0,0
biomass,7,97,0,0,97,0,0,0,0,0,0,0,0
conventional_hydroelectric,7,611,0,0,611,0,0,0,0,0,0,0,0
conventional_steam_coal,7,0,0,0,0,0,0,0,0,0,0,0,0
conventional_steam_coal,7,0,0,0,0,0,0,0,0,0,0,0,0
conventional_steam_coal,7,0,0,0,0,0,0,0,0,0,0,0,0
conventional_steam_coal,7,0,0,0,0,0,0,0,0,0,0,0,0
hydroelectric_pumped_storage,7,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,7,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,7,0,0,0,0,0,0,0,0,0,0,0,0
nuclear,7,3708,-2.19E-06,0,3708.000002,0,0,0,0,0,0,0,0
onshore_wind_turbine,7,0,0,0,0,0,0,0,0,0,0,0,0
small_hydroelectric,7,1655,0,0,1655,0,0,0,0,0,0,0,0
