Line,New_Trans_Capacity,Cost_Trans_Capacity
1,0.0,0.0
2,0.0,0.0
3,690.0,1.349019e7
4,442.0,8.405956e6
5,0.0,0.0
6,1471.1482,4.7207676e7
7,210.0,7.35231e6
8,2500.0,7.52225e7
9,-3.1507846e-6,-0.122244135
10,-1.986241e-6,-0.050817974
11,299.99915,4.7180865e6
12,389.62543,8.669556e6
13,-2.8695056e-6,-0.07629154
14,0.0,0.0
15,0.0,0.0
16,-3.063877e-6,-0.04156762
17,-2.9089329e-6,-0.0837569
18,-3.169803e-6,-0.15891807
19,-3.1392588e-6,-0.085902676
20,-2.8545319e-6,-0.08800522
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
