Fuel,Cost_per_MMBtu,CO2_content_tons_per_MMBtu,fuel_indices
None,0.0,0.0,1
west_north_central_coal,1.75,0.09552,2
west_north_central_naturalgas,4.21,0.05306,3
west_north_central_uranium,0.7,0.0,4
middle_atlantic_naturalgas,3.43,0.05306,5
middle_atlantic_coal,1.91,0.09552,6
middle_atlantic_uranium,0.7,0.0,7
east_north_central_coal,1.77,0.09552,8
east_north_central_naturalgas,3.53,0.05306,9
east_north_central_uranium,0.7,0.0,10
south_atlantic_coal,2.4,0.09552,11
south_atlantic_naturalgas,4.23,0.05306,12
south_atlantic_uranium,0.7,0.0,13
west_north_central_naturalgas_ccs90,5.31,0.00531,14
west_north_central_naturalgas_ccs100,5.43,0.0,15
middle_atlantic_naturalgas_ccs90,4.53,0.00531,16
middle_atlantic_naturalgas_ccs100,4.65,0.0,17
east_north_central_naturalgas_ccs90,4.62,0.00531,18
east_north_central_naturalgas_ccs100,4.75,0.0,19
south_atlantic_naturalgas_ccs90,5.33,0.00531,20
south_atlantic_naturalgas_ccs100,5.45,0.0,21
