Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
conventional_hydroelectric,1,208.0,0.0,0.0,208.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,1,12097.0,-2.008942238476198e-6,0.0,12097.000002008943,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,1,201.0,-1.9978613411494295e-6,0.0,201.00000199786135,0,0.0,0.0,0.0,0,0.0,0.0,0.0
biomass,2,81.0,0.0,0.0,81.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,2,5244.0,-2.0157518158909042e-6,0.0,5244.000002015752,0,0.0,0.0,0.0,0,0.0,0.0,0.0
hydroelectric_pumped_storage,2,1998.0,4.4167620616032314e-7,0.0,1997.999999558324,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,2,5462.0,-2.0097342905609997e-6,0.0,5462.000002009734,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,2,506.0,-1.982007821440772e-6,0.0,506.0000019820078,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
nuclear,2,1161.0,-2.017363946149659e-6,0.0,1161.0000020173638,0,0.0,0.0,0.0,0,0.0,0.0,0.0
onshore_wind_turbine,2,2194.0,-2.004697911853562e-6,0.0,2194.0000020046978,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,2,132.0,-2.007172614670967e-6,0.0,132.0000020071726,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_hydroelectric,3,275.0,0.0,0.0,275.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
hydroelectric_pumped_storage,3,1168.0,3.63865064461382e-7,0.0,1167.999999636135,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,3,2327.0,2326.9987233555216,0.0,0.0012766444783665065,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,3,296.0,295.99966773706836,0.0,0.0003322629316357961,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,3,4106.0,2486.3639439234084,0.0,1619.6360560765916,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
small_hydroelectric,3,134.0,0.0,0.0,134.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,3,335.0,-2.014500774986121e-6,0.0,335.00000201450075,0,0.0,0.0,0.0,0,0.0,0.0,0.0
biomass,4,40.0,0.0,0.0,40.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_hydroelectric,4,3369.0,0.0,0.0,3369.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
hydroelectric_pumped_storage,4,240.0,-1.1963269693410404e-8,0.0,240.00000001196327,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
nuclear,4,3365.0,-2.0192685078487754e-6,0.0,3365.0000020192683,0,0.0,0.0,0.0,0,0.0,0.0,0.0
onshore_wind_turbine,4,2151.0,-2.0112290415922303e-6,0.0,2151.000002011229,0,0.0,0.0,0.0,0,0.0,0.0,0.0
small_hydroelectric,4,333.0,0.0,0.0,333.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,4,218.0,-2.013622117045829e-6,0.0,218.00000201362212,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,5,3788.0,-6.155617616798333e-7,0.0,3788.000000615562,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,5,1889.0,-1.821601765873288e-6,0.0,1889.0000018216017,0,0.0,0.0,0.0,0,0.0,0.0,0.0
nuclear,5,10667.0,-2.0083263810398404e-6,0.0,10667.000002008326,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,5,54.0,-2.0023165310757377e-6,0.0,54.00000200231653,0,0.0,0.0,0.0,0,0.0,0.0,0.0
biomass,6,7.0,0.0,0.0,7.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_hydroelectric,6,572.0,0.0,0.0,572.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,6,170.0,169.99884733428576,0.0,0.0011526657142439944,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,6,213.0,-2.0033233550677297e-6,0.0,213.00000200332335,0,0.0,0.0,0.0,0,0.0,0.0,0.0
biomass,7,97.0,0.0,0.0,97.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_hydroelectric,7,611.0,0.0,0.0,611.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
hydroelectric_pumped_storage,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
nuclear,7,3708.0,-2.0030020225305468e-6,0.0,3708.000002003002,0,0.0,0.0,0.0,0,0.0,0.0,0.0
small_hydroelectric,7,1655.0,0.0,0.0,1655.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,7,1556.0,-2.0039579891267095e-6,0.0,1556.000002003958,0,0.0,0.0,0.0,0,0.0,0.0,0.0
biomass,8,26.0,0.0,0.0,26.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
nuclear,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,8,225.0,-1.9904838290073674e-6,0.0,225.00000199048384,0,0.0,0.0,0.0,0,0.0,0.0,0.0
biomass,9,51.0,0.0,0.0,51.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
hydroelectric_pumped_storage,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,9,2879.0,-1.981926327095709e-6,0.0,2879.0000019819263,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,9,377.0,-1.999242495132487e-6,0.0,377.0000019992425,0,0.0,0.0,0.0,0,0.0,0.0,0.0
biomass,10,59.0,0.0,0.0,59.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
biomass,10,3.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,10,2759.0,-1.8912853681368205e-6,0.0,2759.0000018912856,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_steam_turbine,10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
nuclear,10,2386.0,-2.010814981282834e-6,0.0,2386.000002010815,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,10,187.0,-2.0020837706863017e-6,0.0,187.00000200208376,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,11,1501.0,-1.8321680561987577e-6,0.0,1501.000001832168,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,11,334.0,-1.8465709505562022e-6,0.0,334.00000184657097,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,11,21.0,-1.98137666849245e-6,0.0,21.00000198137667,0,0.0,0.0,0.0,0,0.0,0.0,0.0
