Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15
9000.0,1.0,1.0,1.0,9000.0,20.0,96.0,96.0,1,24120.0,18837.0,19815.0,7348.0,10296.0,1997.0,12245.0,3200.0,6674.0,5838.0,7183.0,46048.0,8933.0,15571.0,24281.0
,2.0,0.067,0.075,603.0,,,1152.0,2,23141.0,18095.0,20239.0,7529.0,9871.0,1930.0,11836.0,3238.0,6627.0,5754.0,7011.0,45088.0,8937.0,14863.0,23461.0
,,,,,,,192.0,3,22515.0,17646.0,20571.0,7685.0,9601.0,1889.0,11642.0,3284.0,6650.0,5766.0,6868.0,45051.0,8947.0,14662.0,23248.0
,,,,,,,672.0,4,22740.0,18661.0,21720.0,8056.0,9523.0,1936.0,11889.0,3444.0,6802.0,6027.0,7105.0,45598.0,9268.0,14848.0,24104.0
,,,,,,,384.0,5,23035.0,19029.0,22600.0,8256.0,9689.0,2042.0,12205.0,3609.0,7053.0,6251.0,7334.0,46826.0,9667.0,15914.0,25625.0
,,,,,,,480.0,6,24720.0,19164.0,23875.0,8568.0,10415.0,2182.0,13319.0,3862.0,7371.0,6778.0,7968.0,50007.0,10379.0,17698.0,27861.0
,,,,,,,864.0,7,26449.0,19733.0,24777.0,8787.0,11236.0,2258.0,14620.0,4013.0,7583.0,7606.0,8426.0,53788.0,11426.0,19501.0,30510.0
,,,,,,,1248.0,8,28641.0,21176.0,22160.0,7980.0,11787.0,2220.0,15944.0,3274.0,6818.0,7819.0,8183.0,57600.0,11842.0,20798.0,32626.0
,,,,,,,192.0,9,29754.0,22400.0,20264.0,7406.0,12087.0,2027.0,16167.0,2586.0,6093.0,7891.0,7608.0,58276.0,11898.0,20918.0,32830.0
,,,,,,,576.0,10,29553.0,22712.0,18125.0,6767.0,12319.0,1810.0,15792.0,1880.0,5321.0,7530.0,6769.0,56846.0,11479.0,20936.0,31587.0
,,,,,,,384.0,11,29522.0,22698.0,17626.0,6617.0,12649.0,1669.0,15684.0,1660.0,5076.0,7742.0,6433.0,56310.0,11549.0,21247.0,30845.0
,,,,,,,288.0,12,29975.0,22823.0,16716.0,6265.0,12976.0,1623.0,15839.0,1537.0,4922.0,7832.0,6438.0,56677.0,11480.0,21725.0,31016.0
,,,,,,,192.0,13,30233.0,22891.0,16868.0,6242.0,12974.0,1642.0,15573.0,1604.0,4968.0,8048.0,6658.0,56699.0,11557.0,21992.0,30907.0
,,,,,,,192.0,14,30159.0,22726.0,17124.0,6269.0,13057.0,1634.0,15484.0,1726.0,5099.0,7821.0,6666.0,55701.0,11167.0,22474.0,30691.0
,,,,,,,192.0,15,30669.0,22612.0,18814.0,6737.0,13711.0,1803.0,15929.0,2315.0,5791.0,8192.0,7350.0,56743.0,11473.0,24121.0,31774.0
,,,,,,,288.0,16,33120.0,23368.0,22710.0,7807.0,14855.0,2165.0,17344.0,3622.0,7321.0,9455.0,9055.0,61195.0,12704.0,26872.0,35073.0
,,,,,,,576.0,17,36550.0,24617.0,27773.0,9130.0,15922.0,2663.0,19169.0,5236.0,9266.0,11038.0,11189.0,66888.0,14187.0,29076.0,38804.0
,,,,,,,192.0,18,38999.0,25799.0,33018.0,10642.0,15546.0,3104.0,20592.0,6815.0,11166.0,12390.0,13081.0,70878.0,15525.0,28357.0,41940.0
,,,,,,,480.0,19,37023.0,25637.0,29574.0,9650.0,14072.0,3056.0,19098.0,6347.0,10745.0,10781.0,12223.0,66207.0,14134.0,25601.0,41033.0
,,,,,,,96.0,20,33505.0,24874.0,24130.0,8109.0,13629.0,2781.0,17104.0,5070.0,9415.0,8487.0,10538.0,60674.0,12168.0,23260.0,36219.0
,,,,,,,,21,31654.0,23974.0,22135.0,7544.0,13247.0,2607.0,16164.0,4602.0,8805.0,7801.0,9859.0,57912.0,11358.0,21426.0,33633.0
,,,,,,,,22,29407.0,22476.0,20656.0,7136.0,12472.0,2441.0,15048.0,4116.0,8152.0,7086.0,9107.0,53812.0,10437.0,19405.0,30939.0
,,,,,,,,23,26772.0,20581.0,19395.0,6904.0,11512.0,2181.0,13440.0,3600.0,7386.0,6292.0,8129.0,49026.0,9415.0,17482.0,28186.0
,,,,,,,,24,24634.0,19014.0,19008.0,6908.0,10867.0,2001.0,12276.0,3346.0,6884.0,5829.0,7488.0,45795.0,8765.0,16647.0,26345.0
,,,,,,,,25,24346.0,19221.0,20816.0,7483.0,10037.0,2009.0,12295.0,3765.0,7249.0,6632.0,7675.0,45727.0,9500.0,15764.0,26685.0
,,,,,,,,26,23119.0,19756.0,20189.0,7387.0,9415.0,1879.0,11403.0,3454.0,6800.0,6092.0,7057.0,43215.0,9006.0,14920.0,25206.0
,,,,,,,,27,22295.0,19239.0,20673.0,7541.0,9162.0,1895.0,11385.0,3528.0,6833.0,6220.0,7054.0,42726.0,9123.0,14630.0,25264.0
,,,,,,,,28,21976.0,19130.0,21349.0,7788.0,8845.0,1918.0,11477.0,3601.0,6888.0,6339.0,7125.0,42687.0,9312.0,14732.0,25769.0
,,,,,,,,29,21819.0,19224.0,21920.0,7923.0,8900.0,1979.0,11812.0,3653.0,6988.0,6445.0,7225.0,43004.0,9572.0,15091.0,26670.0
,,,,,,,,30,22482.0,18924.0,22647.0,8100.0,9161.0,2097.0,12556.0,3776.0,7121.0,6693.0,7554.0,44732.0,10051.0,15810.0,28363.0
,,,,,,,,31,23640.0,19228.0,22984.0,8180.0,9429.0,2114.0,13297.0,3647.0,6943.0,7134.0,7620.0,46889.0,10755.0,16938.0,30070.0
,,,,,,,,32,24727.0,20039.0,19414.0,7091.0,9805.0,1991.0,13964.0,2566.0,5701.0,6532.0,6999.0,48964.0,10295.0,18154.0,30223.0
,,,,,,,,33,26026.0,19960.0,18157.0,6681.0,10656.0,1863.0,14499.0,2066.0,5157.0,6822.0,6768.0,50992.0,10587.0,19439.0,29832.0
,,,,,,,,34,27806.0,20949.0,17861.0,6561.0,11435.0,1785.0,15007.0,1883.0,4981.0,7393.0,6873.0,53019.0,11110.0,20542.0,29855.0
,,,,,,,,35,29026.0,21542.0,18504.0,6742.0,12049.0,1667.0,15203.0,1912.0,5040.0,8121.0,6647.0,55161.0,11642.0,21471.0,29811.0
,,,,,,,,36,30341.0,22062.0,18186.0,6563.0,12795.0,1683.0,15877.0,1929.0,5106.0,8439.0,6729.0,56871.0,11742.0,22710.0,30167.0
,,,,,,,,37,31774.0,22654.0,19266.0,6807.0,13065.0,1787.0,16580.0,2275.0,5519.0,9104.0,7350.0,58736.0,12071.0,23469.0,31615.0
,,,,,,,,38,32133.0,22730.0,19769.0,6921.0,13156.0,1820.0,16482.0,2445.0,5700.0,9023.0,7532.0,58120.0,11779.0,23876.0,31895.0
,,,,,,,,39,32396.0,22561.0,21285.0,7348.0,13224.0,1923.0,16654.0,2905.0,6236.0,9110.0,8017.0,57972.0,11833.0,24767.0,33016.0
,,,,,,,,40,33242.0,22717.0,23411.0,7936.0,13599.0,2094.0,16990.0,3621.0,7089.0,9293.0,8810.0,58854.0,12076.0,26121.0,34542.0
,,,,,,,,41,34711.0,23223.0,26738.0,8765.0,13577.0,2421.0,17722.0,4664.0,8377.0,9830.0,10240.0,60892.0,12653.0,26542.0,36820.0
,,,,,,,,42,35079.0,23387.0,29168.0,9503.0,13993.0,2583.0,17370.0,5351.0,9275.0,9653.0,10611.0,60465.0,12576.0,26847.0,36979.0
,,,,,,,,43,37139.0,24320.0,30085.0,9718.0,14710.0,2906.0,16972.0,6169.0,10434.0,10443.0,11806.0,64239.0,13511.0,28120.0,40926.0
,,,,,,,,44,39069.0,26118.0,28908.0,9341.0,15015.0,3031.0,19552.0,6398.0,10902.0,10663.0,12347.0,68113.0,14013.0,27709.0,41282.0
,,,,,,,,45,37924.0,26115.0,26254.0,8629.0,14737.0,2883.0,18449.0,5900.0,10298.0,9886.0,11659.0,66394.0,13129.0,25446.0,37998.0
,,,,,,,,46,34793.0,24427.0,23666.0,8013.0,13779.0,2584.0,16625.0,5204.0,9362.0,8853.0,10531.0,61343.0,11998.0,22855.0,34063.0
,,,,,,,,47,31341.0,22539.0,22239.0,7852.0,12434.0,2317.0,14717.0,4580.0,8447.0,7861.0,9394.0,56196.0,10979.0,20017.0,30727.0
,,,,,,,,48,27750.0,20792.0,20918.0,7558.0,10979.0,2050.0,12777.0,3930.0,7510.0,6822.0,8187.0,50788.0,9920.0,17472.0,27482.0
