Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15
9000.0,1.0,1.0,1.0,9000.0,20.0,96.0,576.0,1,39329.0,29370.0,20376.0,8156.0,18123.0,2571.0,15688.0,3467.0,6976.0,7631.0,9516.0,68882.0,11442.0,17062.0,29532.0
,2.0,0.067,0.075,603.0,,,1344.0,2,36699.0,28151.0,20001.0,8140.0,18233.0,2358.0,14138.0,3249.0,6687.0,7426.0,8760.0,65274.0,11202.0,15482.0,26514.0
,,,,,,,576.0,3,36684.0,28011.0,20150.0,8414.0,18496.0,2315.0,14148.0,3324.0,6789.0,7608.0,8762.0,65823.0,11481.0,15179.0,26410.0
,,,,,,,1152.0,4,37042.0,28235.0,20979.0,8765.0,18608.0,2313.0,14239.0,3399.0,6940.0,7752.0,8769.0,66873.0,11683.0,14873.0,26381.0
,,,,,,,384.0,5,37493.0,28772.0,22150.0,9454.0,18909.0,2337.0,14582.0,3563.0,7389.0,7881.0,8972.0,67650.0,12003.0,15252.0,26264.0
,,,,,,,384.0,6,39196.0,30089.0,23222.0,9819.0,19339.0,2543.0,16283.0,3915.0,8288.0,8352.0,9790.0,70868.0,12866.0,16495.0,28006.0
,,,,,,,576.0,7,42853.0,33016.0,24596.0,10101.0,20623.0,2920.0,18432.0,4306.0,9033.0,9409.0,10992.0,78810.0,14567.0,18230.0,30347.0
,,,,,,,288.0,8,43629.0,33205.0,22535.0,9367.0,20762.0,2950.0,19224.0,3749.0,8457.0,8942.0,10963.0,79255.0,14300.0,20164.0,32520.0
,,,,,,,480.0,9,44851.0,33680.0,20969.0,8879.0,21477.0,2839.0,19543.0,3050.0,7669.0,9047.0,10303.0,80108.0,14476.0,22332.0,33096.0
,,,,,,,384.0,10,46844.0,34727.0,19892.0,8586.0,22063.0,2764.0,20492.0,2409.0,6968.0,9464.0,10004.0,82861.0,14889.0,24162.0,34034.0
,,,,,,,576.0,11,49633.0,36488.0,19886.0,8578.0,23455.0,2760.0,21250.0,2090.0,6645.0,10123.0,9994.0,86760.0,15590.0,25931.0,35007.0
,,,,,,,384.0,12,50954.0,36443.0,19216.0,8389.0,23786.0,2832.0,22268.0,1852.0,6416.0,10188.0,10227.0,87686.0,15590.0,28486.0,37228.0
,,,,,,,288.0,13,53268.0,37362.0,20618.0,8766.0,24143.0,3017.0,23823.0,2302.0,7031.0,10998.0,11260.0,91694.0,16231.0,30156.0,40891.0
,,,,,,,384.0,14,53737.0,37638.0,21211.0,8883.0,24002.0,3042.0,23943.0,2535.0,7366.0,11014.0,11492.0,91830.0,16204.0,30595.0,41607.0
,,,,,,,192.0,15,53815.0,37291.0,22434.0,9213.0,24156.0,3148.0,23783.0,2900.0,7818.0,11037.0,11886.0,90872.0,16092.0,31458.0,42143.0
,,,,,,,288.0,16,55435.0,37686.0,26094.0,10315.0,24850.0,3499.0,24821.0,3880.0,8983.0,11660.0,13251.0,93692.0,16649.0,33861.0,45904.0
,,,,,,,96.0,17,58220.0,38682.0,29320.0,11202.0,25204.0,4076.0,27053.0,5243.0,10567.0,12604.0,15293.0,98889.0,17631.0,35949.0,52605.0
,,,,,,,192.0,18,60260.0,40850.0,29888.0,11364.0,27643.0,4568.0,28236.0,5917.0,11449.0,13063.0,16864.0,103077.0,18347.0,37735.0,53187.0
,,,,,,,96.0,19,64734.0,42458.0,30761.0,11627.0,28453.0,5011.0,31227.0,6256.0,11860.0,13672.0,18387.0,110493.0,18917.0,39266.0,56738.0
,,,,,,,96.0,20,64937.0,43068.0,30045.0,11312.0,27589.0,4972.0,31122.0,6168.0,11595.0,13373.0,18144.0,110433.0,18594.0,37279.0,55053.0
,,,,,,,,21,61364.0,41300.0,27650.0,10522.0,26153.0,4598.0,29014.0,5533.0,10547.0,12525.0,16813.0,105119.0,17686.0,33819.0,49519.0
