Region description,Network_zones,RPS_1,RPS_2,RPS_3,RPS_4,RPS_5,RPS_6,RPS_7,Modeled load
MIS_Central,z1,0,0,0.081,0,0,0,1,337742996
MIS_East,z2,0,0,0.136,0,0,0,1,260683652
NY_East,z3,0,0,0,0.6,1,0,1,219586183
NY_West,z4,0,0,0,0.6,1,0,1,83857888
PJM_COMD,z5,0.221,0.221,0,0,0,0,1,150679942
PJM_Delaware,z6,0.363,0.363,0,0,0,0,1,27473817
PJM_Dom,z7,0.706,0.89,0,0,0,0,1,167587975
PJM_NJCoast,z8,0.75,1,0,0,0,0,1,41876523
PJM_NJLand,z9,0.75,1,0,0,0,0,1,93619265
PJM_PECO,z10,0.175,0.175,0,0,0,0,1,80652823
PJM_SMAC,z11,0.47,0.47,0,0,0,0,1,101408500
PJM_WEST,z12,0.111,0.111,0,0,0,0,1,591465054
PJM_WestMAC,z13,0.175,0.175,0,0,0,0,1,125437226
SC_TVA,z14,0,0,0,0,0,0.012,1,220778640
SC_VACA,z15,0,0,0,0,0,0.074,1,343720561
